x value,timestamp,topic,value
-10,1778965784.729637493,/ouranos/destination.x,-20
-20,1778965833.494972913,/ouranos/destination.x,0
-20,1778965858.481203927,/ouranos/destination.x,0
-0.11270767450332642,1778965699.376523418,/fmu/out/vehicle_local_position.x,-0.09070778638124466
-0.11268610507249832,1778965699.401121824,/fmu/out/vehicle_local_position.x,-0.09076277911663055
-0.11266575008630753,1778965699.409187980,/fmu/out/vehicle_local_position.x,-0.09081725031137466
-0.11264657229185104,1778965699.428875703,/fmu/out/vehicle_local_position.x,-0.09087119251489639
-0.11262855678796768,1778965699.460164667,/fmu/out/vehicle_local_position.x,-0.09092461317777634
-0.11229906976222992,1778965699.480629231,/fmu/out/vehicle_local_position.x,-0.09084726125001907
-0.11197872459888458,1778965699.488002209,/fmu/out/vehicle_local_position.x,-0.09077268838882446
-0.11166726052761078,1778965699.514280485,/fmu/out/vehicle_local_position.x,-0.09070079773664474
-0.11136443167924881,1778965699.535381841,/fmu/out/vehicle_local_position.x,-0.09063149243593216
-0.11107000708580017,1778965699.544956406,/fmu/out/vehicle_local_position.x,-0.09056469053030014
-0.11078374832868576,1778965699.577538598,/fmu/out/vehicle_local_position.x,-0.09050031006336212
-0.11050543189048767,1778965699.584982406,/fmu/out/vehicle_local_position.x,-0.09043826162815094
-0.11023484170436859,1778965699.600260245,/fmu/out/vehicle_local_position.x,-0.09037846326828003
-0.10997176915407181,1778965699.613210334,/fmu/out/vehicle_local_position.x,-0.09032083302736282
-0.10971599817276001,1778965699.628334606,/fmu/out/vehicle_local_position.x,-0.09026530385017395
-0.10946732759475708,1778965699.643271355,/fmu/out/vehicle_local_position.x,-0.09021180123090744
-0.10922558605670929,1778965699.657970633,/fmu/out/vehicle_local_position.x,-0.09016025811433792
-0.10899058729410172,1778965699.677615681,/fmu/out/vehicle_local_position.x,-0.09011061489582062
-0.10876216739416122,1778965699.686132827,/fmu/out/vehicle_local_position.x,-0.09006280452013016
-0.10854015499353409,1778965699.710167966,/fmu/out/vehicle_local_position.x,-0.09001676738262177
-0.10832438617944717,1778965699.727818742,/fmu/out/vehicle_local_position.x,-0.08997245877981186
-0.10808944702148438,1778965699.742604140,/fmu/out/vehicle_local_position.x,-0.09037178009748459
-0.10786072164773941,1778965699.755751775,/fmu/out/vehicle_local_position.x,-0.0907619372010231
-0.10763805359601974,1778965699.771538236,/fmu/out/vehicle_local_position.x,-0.09114320576190948
-0.10742128640413284,1778965699.792948058,/fmu/out/vehicle_local_position.x,-0.09151582419872284
-0.10721026360988617,1778965699.812492680,/fmu/out/vehicle_local_position.x,-0.09188003838062286
-0.10700484365224838,1778965699.841868100,/fmu/out/vehicle_local_position.x,-0.09223608672618866
-0.10680487751960754,1778965699.848573059,/fmu/out/vehicle_local_position.x,-0.09258420765399933
-0.10661021620035172,1778965699.870468782,/fmu/out/vehicle_local_position.x,-0.09292460978031158
-0.10642074048519135,1778965699.877467395,/fmu/out/vehicle_local_position.x,-0.09325753152370453
-0.1062363013625145,1778965699.889709296,/fmu/out/vehicle_local_position.x,-0.09358317404985428
-0.10605677217245102,1778965699.914608717,/fmu/out/vehicle_local_position.x,-0.09390176087617874
-0.10588204115629196,1778965699.921333020,/fmu/out/vehicle_local_position.x,-0.09421344846487045
-0.10571198910474777,1778965699.936842492,/fmu/out/vehicle_local_position.x,-0.09451840817928314
-0.1055464968085289,1778965699.957845938,/fmu/out/vehicle_local_position.x,-0.09481679648160934
-0.1053854376077652,1778965699.967894606,/fmu/out/vehicle_local_position.x,-0.09510877728462219
-0.10515261441469193,1778965699.981592394,/fmu/out/vehicle_local_position.x,-0.09592343866825104
-0.10492698848247528,1778965699.997031013,/fmu/out/vehicle_local_position.x,-0.09671974927186966
-0.10470836609601974,1778965700.012735101,/fmu/out/vehicle_local_position.x,-0.09749822318553925
-0.10449656844139099,1778965700.029280535,/fmu/out/vehicle_local_position.x,-0.098259337246418
-0.10429142415523529,1778965700.047762426,/fmu/out/vehicle_local_position.x,-0.09900358319282532
-0.10409276187419891,1778965700.062109830,/fmu/out/vehicle_local_position.x,-0.09973140060901642
-0.10390042513608932,1778965700.075918534,/fmu/out/vehicle_local_position.x,-0.1004432663321495
-0.1037142425775528,1778965700.096450530,/fmu/out/vehicle_local_position.x,-0.1011396124958992
-0.10353406518697739,1778965700.111347672,/fmu/out/vehicle_local_position.x,-0.10182086378335953
-0.10335973650217056,1778965700.126589671,/fmu/out/vehicle_local_position.x,-0.10248743742704391
-0.10319111496210098,1778965700.151925101,/fmu/out/vehicle_local_position.x,-0.10313974320888519
-0.10302802920341492,1778965700.156914700,/fmu/out/vehicle_local_position.x,-0.10377812385559082
-0.10287033021450043,1778965700.179263719,/fmu/out/vehicle_local_position.x,-0.10440290719270706
